no_diacritics,with_diacritics
Phoi do hop xu huong Thu Dong 2015 theo cam hung cua cac kinh do thoi trang.,Phối đồ hợp xu hướng Thu Đông 2015 theo cảm hứng của các kinh đô thời trang.
"Co Cu Thi Ha, giao vien ngu van lop 12A5, cho hay, trong nam hoc vua qua, co da xay dung giao an giang day phu hop, khoa hoc de giup hoc sinh lop chon khoi D va C nam chac duoc bai, giup cac em hoan thanh tot nhat bai thi mon ngu van trong ky thi tot nghiep THPT.","Cô Cù Thị Hà, giáo viên ngữ văn lớp 12A5, cho hay, trong năm học vừa qua, cô đã xây dựng giáo án giảng dạy phù hợp, khoa học để giúp học sinh lớp chọn khối D và C nắm chắc được bài, giúp các em hoàn thành tốt nhất bài thi môn ngữ văn trong kỳ thi tốt nghiệp THPT."
"Theo ba Phan Thi Thang, trong boi canh hien nay doi hoi can thiet phai co mot nghi quyet moi thay the Nghi quyet 54, qua do tao dieu kien khoi thong nguon luc phat trien TP.HCM trong giai doan toi.","Theo bà Phan Thị Thắng, trong bối cảnh hiện nay đòi hỏi cần thiết phải có một nghị quyết mới thay thế Nghị quyết 54, qua đó tạo điều kiện khơi thông nguồn lực phát triển TP.HCM trong giai đoạn tới."
U23 Viet Nam khong the vuot qua U23 Myanmar.,U23 Việt Nam không thể vượt qua U23 Myanmar.
Chi la mot cai vay bi tut thoi ma.,Chỉ là một cái váy bị tụt thôi mà.
U23 Malaysia gui 'chien thu' toi U23 Viet Nam.,U23 Malaysia gửi 'chiến thư' tới U23 Việt Nam.
Madonna tai hop voi bo tre Jesus.,Madonna tái hợp với bồ trẻ Jesus.
"""Toi nghe nguoi ta noi ong ay song mot minh, khong vo khong con trong can phong tro von ven vai met vuong.","""Tôi nghe người ta nói ông ấy sống một mình, không vợ không con trong căn phòng trọ vỏn vẹn vài mét vuông."
"Hat Xoan, hat Gheo - Dan ca doc dao cua Phu Tho.","Hát Xoan, hát Ghẹo - Dân ca độc đáo của Phú Thọ."
ACItochu keu kho voi du an ethanol Binh Phuoc.,ACItochu kêu khó với dự án ethanol Bình Phước.
Xe canh sat giao thong gay tai nan giao thong.,Xe cảnh sát giao thông gây tai nạn giao thông.
TAND TP.HCM ky niem 70 nam nganh toa an.,TAND TP.HCM kỷ niệm 70 năm ngành tòa án.
Lam gi de co vu thi dau bong da co van hoa ?.,Làm gì để cổ vũ thi đấu bóng đá có văn hóa ?.
EU thoa thuan ve van de di cu: Bang mat nhung khong bang long.,EU thỏa thuận về vấn đề di cư: Bằng mặt nhưng không bằng lòng.
Chuc cac ban thanh cong.,Chúc các bạn thành công.
Tang qua hoc sinh ngheo vung giao vuot kho.,Tặng quà học sinh nghèo vùng giáo vượt khó.
"Tuy nhien, Ukraine kho tao duoc ket qua tuong tu o chien truong mien dong.","Tuy nhiên, Ukraine khó tạo được kết quả tương tự ở chiến trường miền đông."
"Xe may, o to va nan ket duong.","Xe máy, ô tô và nạn kẹt đường."
Lua chon chat beo tot 9.,Lựa chọn chất béo tốt 9.
Tiep Pho Chu tich thu nhat Thuong vien Tay Ban Nha.,Tiếp Phó Chủ tịch thứ nhất Thượng viện Tây Ban Nha.
Barcelona trut con mua ban thang vao luoi Basel.,Barcelona trút cơn mưa bàn thắng vào lưới Basel.
Chuyen tau boi thuc !.,Chuyến tàu bội thực !.
"Yen Bai can tan dung tiem nang de tang truong nhanh, ben vung.","Yên Bái cần tận dụng tiềm năng để tăng trưởng nhanh, bền vững."
Ha Noi: Thu giu 2.650 doi giay khong ro nguon goc.,Hà Nội: Thu giữ 2.650 đôi giày không rõ nguồn gốc.
Tran dau giua Viettel FC va Phnom Penh Crown FC dien ra vao luc 17h00 ngay 27/6 tren san Thong Nhat.,Trận đấu giữa Viettel FC và Phnom Penh Crown FC diễn ra vào lúc 17h00 ngày 27/6 trên sân Thống Nhất.
Ngoi buon gap giay nghich choi.,Ngồi buồn gấp giấy nghịch chơi.
'Nang tho' tiep tuc to ong trum Playboy.,'Nàng thỏ' tiếp tục tố ông trùm Playboy.
"VPK: Uoc lai sau thue 2015 dat 25 ty, co tuc 10%.","VPK: Ước lãi sau thuế 2015 đạt 25 tỷ, cổ tức 10%."
"Hoc sinh duoc yeu cau o nha tai nhung tinh ghi nhan muc ""bao dong do"", va Bo Y te Phap cung da mo duong day nong lien lac dac biet ve tinh hinh nang nong.","Học sinh được yêu cầu ở nhà tại những tỉnh ghi nhận mức ""báo động đỏ"", và Bộ Y tế Pháp cũng đã mở đường dây nóng liên lạc đặc biệt về tình hình nắng nóng."
Jule Verne Nga tai hoa bac phan.,Jule Verne Nga tài hoa bạc phận.
Nam Thai Binh Duong dang doi mat voi nguy co khung hoang toan dien.,Nam Thái Bình Dương đang đối mặt với nguy cơ khủng hoảng toàn diện.
Doan tau hoa cho 250 hanh khach trat banh ngay sat mep vinh.,Đoàn tàu hỏa chở 250 hành khách trật bánh ngay sát mép vịnh.
Nhieu nguoi khong biet noi tieng Anh cung the hien ro rang rang ho muon giup do.,Nhiều người không biết nói tiếng Anh cũng thể hiện rõ ràng rằng họ muốn giúp đỡ.
"Do la thoi diem V-League 2022 da ket thuc, khi ay doi tuyen hy vong se co duoc dan cau thu day du nhu y muon va dang co phong do tot.","Đó là thời điểm V-League 2022 đã kết thúc, khi ấy đội tuyển hy vọng sẽ có được dàn cầu thủ đầy đủ như ý muốn và đang có phong độ tốt."
Truc tiep SLNA- Hai Phong: Cuoc chien chua bao gio nguoi.,Trực tiếp SLNA- Hải Phòng: Cuộc chiến chưa bao giờ nguội.
Nhung cong trinh giup ha nhiet ket xe.,Những công trình giúp hạ nhiệt kẹt xe.
Cap dien them cang thang.,Cấp điện thêm căng thẳng.
Chi can xoi loi thi kho khan nao cung se duoc giai quyet trong ngay hom nay.,Chỉ cần xởi lởi thì khó khăn nào cũng sẽ được giải quyết trong ngày hôm nay.
"Mo rong vong tay, giup nguoi lam loi tai co so lam lai cuoc doi.","Mở rộng vòng tay, giúp người lầm lỗi tại cơ sở làm lại cuộc đời."
Loi keu cuu cua nguoi di hop tac lao dong tai Arab Saudi.,Lời kêu cứu của người đi hợp tác lao động tại Arab Saudi.
Tuyen truyen phap luat lao dong cho DN.,Tuyên truyền pháp luật lao động cho DN.
Thu gui chau va me chau.,Thư gửi cháu và mẹ cháu.
Bat mot Tong giam doc lua tien ty.,Bắt một Tổng giám đốc lừa tiền tỷ.
"Bac si Luong Chan Quang de nghi truoc mat can thanh lap cac to xung kich SXH cong dong de di tung ngo, go tung nha, huy dong nhan dan cung chung tay phong chong SXH giong nhu chien dau voi Covid-19; tao thuong quy cho nhan dan.","Bác sĩ Lương Chấn Quang đề nghị trước mắt cần thành lập các tổ xung kích SXH cộng đồng để đi từng ngõ, gõ từng nhà, huy động nhân dân cùng chung tay phòng chống SXH giống như chiến đấu với Covid-19; tạo thường quy cho nhân dân."
De xuat nham ngan chan nguon cung dau hang trieu thung moi ngay cua Nga gap kho khan trong viec luan chuyen do thieu bao hiem.,Đề xuất nhằm ngăn chặn nguồn cung dầu hàng triệu thùng mỗi ngày của Nga gặp khó khăn trong việc luân chuyển do thiếu bảo hiểm.
Bang Kieu gay soc khi chup hinh chung 2 vo cu - moi.,Bằng Kiều gây sốc khi chụp hình chung 2 vợ cũ - mới.
Ky thu Le Quang Liem la cong dan tieu bieu cua TP HCM.,Kỳ thủ Lê Quang Liêm là công dân tiêu biểu của TP HCM.
"Gap troi mua, xe khach lat tren duong Ho Chi Minh.","Gặp trời mưa, xe khách lật trên đường Hồ Chí Minh."
Nuoc mat me gia bi nghich tu bat hieu...hanh xac.,Nước mắt mẹ già bị nghịch tử bất hiếu...hành xác.
"Dong euro-""trai tim tan vo cua chau Au"".","Đồng euro-""trái tim tan vỡ của châu Âu""."
"Khi dang tren da phat trien su nghiep nguoi mau, nguoi dep Tay Do quyet dinh gac lai tat ca va di du hoc o Singapore.","Khi đang trên đà phát triển sự nghiệp người mẫu, người đẹp Tây Đô quyết định gác lại tất cả và đi du học ở Singapore."
A hau ep ban trai ban chet Hoa hau vi ghen ti.,Á hậu ép bạn trai bắn chết Hoa hậu vì ghen tị.
Be 6 tuoi te tu lau 4 xuong dat.,Bé 6 tuổi té từ lầu 4 xuống đất.
Chinh quyen bo tay nan trom cat song Van Uc.,Chính quyền bó tay nạn trộm cát sông Văn Úc.
Cong duong vat co the phai mo.,Cong dương vật có thể phải mổ.
Newcastle vs Man City: Dung day o James Park.,Newcastle vs Man City: Đứng dạy ở James Park.
Vi sao ong Hai 'lo' nhay dung?.,Vì sao ông Hải 'lơ' nhảy dựng?.
"Moi day, to chuc nay da cong bo danh sach bang xep hang (BXH) cac truong dai hoc theo Thanh tuu Hoc thuat nam 2022.","Mới đây, tổ chức này đã công bố danh sách bảng xếp hạng (BXH) các trường đại học theo Thành tựu Học thuật năm 2022."
Nhu Quynh o lai Viet Nam ung ho show dien cua em trai?.,Như Quỳnh ở lại Việt Nam ủng hộ show diễn của em trai?.
Se thay doi cach thu bao hiem y te cua hoc sinh.,Sẽ thay đổi cách thu bảo hiểm y tế của học sinh.
Chu de: Tinh duc va suc khoe.,Chủ đề: Tình dục và sức khỏe.
Xe buyt 'dan tran': UBND tinh Hai Duong noi gi?.,Xe buýt 'dàn trận': UBND tỉnh Hải Dương nói gì?.
Xac dinh trach nhiem hoan tra cua nguoi lam oan ong Nen.,Xác định trách nhiệm hoàn trả của người làm oan ông Nén.
Hung khoi nhat the gioi!.,Hứng khởi nhất thế giới!.
"""Toi lam viec gan 3 nam voi Marvel.","""Tôi làm việc gần 3 năm với Marvel."
It ma van thua.,Ít mà vẫn thừa.
Cang Singapore: Trung tam chuyen tai container nhon nhip nhat tren the gioi.,Cảng Singapore: Trung tâm chuyển tải container nhộn nhịp nhất trên thế giới.
Game thu Viet than phien vi Evolve hut mau nguoi choi qua DLC.,Game thủ Việt than phiền vì Evolve hút máu người chơi qua DLC.
Milan Anderlecht: Phao cuu sinh.,Milan Anderlecht: Phao cứu sinh.
"Mot so nguoi cho rang, nghi pham da len ke hoach rat ky luong.","Một số người cho rằng, nghi phạm đã lên kế hoạch rất kỹ lưỡng."
Da so nguoi dan Phap khong tin tuong vao chuong trinh cai cach cua Chinh phu.,Đa số người dân Pháp không tin tưởng vào chương trình cải cách của Chính phủ.
"Trung Quoc: Sieu tang Armata chi manh ngang M1A2, Leopard 2.","Trung Quốc: Siêu tăng Armata chỉ mạnh ngang M1A2, Leopard 2."
"My dua P - 8 Poseidon den Singapore, Trung Quoc lo ngai.","Mỹ đưa P - 8 Poseidon đến Singapore, Trung Quốc lo ngại."
"Cac du an gom boi thuong, giai phong mat bang du an thanh phan ba thuoc duong cao toc Bien Hoa-Vung Tau, 5 tuyen duong ven bien (Tinh lo 994); duong Vanh dai 4 doan qua tinh Ba Ria-Vung Tau, duong noi vao cao toc Bien Hoa-Vung Tau (tu quoc lo 56 den nut giao Vung Van), duong truc chinh Ba Ria-Vung Tau (tu nut giao Vung Van den vong xoay quoc lo 51B, quoc lo 51C), duong Hoi Bai-Phuoc Tan (noi cao toc Bien Hoa-Vung Tau voi quoc lo 51). HDND tinh Ba Ria-Vung Tau khoa VII cung thong qua nghi quyet thong qua Chuong trinh phat trien nha o tren dia ban tinh Ba Ria-Vung Tau giai doan 2021-2030... Phat bieu be mac ky hop, ong Pham Viet Thanh, Bi thu Tinh uy, Chu tich HDND tinh Ba Ria-Vung Tau de nghi, UBND tinh va cac so, ban, nganh, dia phuong tap trung chi dao cong tac trien khai du an dau tu cong va giai ngan het von dau tu cong da bo tri.","Các dự án gồm bồi thường, giải phóng mặt bằng dự án thành phần ba thuộc đường cao tốc Biên Hòa-Vũng Tàu, 5 tuyến đường ven biển (Tỉnh lộ 994); đường Vành đai 4 đoạn qua tỉnh Bà Rịa-Vũng Tàu, đường nối vào cao tốc Biên Hòa-Vũng Tàu (từ quốc lộ 56 đến nút giao Vũng Vằn), đường trục chính Bà Rịa-Vũng Tàu (từ nút giao Vũng Văn đến vòng xoay quốc lộ 51B, quốc lộ 51C), đường Hội Bài-Phước Tân (nối cao tốc Biên Hoà-Vũng Tàu với quốc lộ 51). HĐND tỉnh Bà Rịa-Vũng Tàu khóa VII cũng thông qua nghị quyết thông qua Chương trình phát triển nhà ở trên địa bàn tỉnh Bà Rịa-Vũng Tàu giai đoạn 2021-2030... Phát biểu bế mạc kỳ họp, ông Phạm Viết Thanh, Bí thư Tỉnh ủy, Chủ tịch HĐND tỉnh Bà Rịa-Vũng Tàu đề nghị, UBND tỉnh và các sở, ban, ngành, địa phương tập trung chỉ đạo công tác triển khai dự án đầu tư công và giải ngân hết vốn đầu tư công đã bố trí."
"Nhung thiet ke bai do xe thong minh, an tuong nhat the gioi.","Những thiết kế bãi đỗ xe thông minh, ấn tượng nhất thế giới."
Phat hien va khuyen nghi ve san pham va dich vu du phong HIV.,Phát hiện và khuyến nghị về sản phẩm và dịch vụ dự phòng HIV.
"Chia se ve quyet dinh tren, Giang chia se co them tien phu cap cho nhan vien neu duoc khach hang danh gia tot qua ung dung danh gia sau khi khach hoan thanh dich vu.","Chia sẻ về quyết định trên, Giang chia sẻ cô thêm tiền phụ cấp cho nhân viên nếu được khách hàng đánh giá tốt qua ứng dụng đánh giá sau khi khách hoàn thành dịch vụ."
Truong Giang: Ai ma khong say nang Angela Phuong Trinh.,Trường Giang: Ai mà không say nắng Angela Phương Trinh.
Du lich lam an kieu mua vu.,Du lịch làm ăn kiểu mùa vụ.
Thong tin ngung cap thi thuc vao ho chieu mau moi cua Viet Nam duoc thong bao qua dot ngot vao chieu cung ngay.,Thông tin ngừng cấp thị thực vào hộ chiếu mẫu mới của Việt Nam được thông báo quá đột ngột vào chiều cùng ngày.
Thu tuong Nguyen Tan Dung du Hoi nghi cap cao CLV lan thu 6.,Thủ tướng Nguyễn Tấn Dũng dự Hội nghị cấp cao CLV lần thứ 6.
Dac Nong: Hai doi tuong cuop tiem vang da bi bat giu.,Đác Nông: Hai đối tượng cướp tiệm vàng đã bị bắt giữ.
Mot so dung cu dung khuan dat da vut lai doc suoi.,Một số dụng cụ dùng khuân đất đá vứt lại dọc suối.
Dien ca dau voi thong gia kiem hang xom.,Điên cả đầu với thông gia kiêm hàng xóm.
Chia se cuoc song so voi tinh nang OVI Share.,Chia sẻ cuộc sống số với tính năng OVI Share.
"""Thu truong oi "".","""Thủ trưởng ơi ""."
Casting VNTM 2012 mien Bac: Gay can voi phan thi chup hinh keo dai den rang sang.,Casting VNTM 2012 miền Bắc: Gay cấn với phần thi chụp hình kéo dài đến rạng sáng.
"NTL: Thanh vien HDQT dang ky ban 300,000 cp.","NTL: Thành viên HĐQT đăng ký bán 300,000 cp."
"Tai nan lien hoan, 3 nguoi thuong vong.","Tai nạn liên hoàn, 3 người thương vong."
Ly giai chuyen a quan SEA Games chay chan dat.,Lý giải chuyện á quân SEA Games chạy chân đất.
Khu cong nghe cao Hoa Lac duoc trien khai voi 450 trieu USD.,Khu công nghệ cao Hòa Lạc được triển khai với 450 triệu USD.
Anh thuc te Honda Wave 110 RS moi ban o Viet Nam.,Ảnh thực tế Honda Wave 110 RS mới bán ở Việt Nam.
"Tuong truyen, vao thoi vua Ly Thai Tong, co nang cong ca dep nguoi dep net.","Tương truyền, vào thời vua Lý Thái Tông, có nàng công cả đẹp người đẹp nết."
Thu hoach Khi canh hoa dat chieu cao can thiet va hoa bat dau chom no bong la ban da co the thu hoach duoc roi.,Thu hoạch Khi cành hoa đạt chiều cao cần thiết và hoa bắt đầu chớm nở bông là bạn đã có thể thu hoạch được rồi.
Chuyen trong ngay: Song trong so hai.,Chuyện trong ngày: Sống trong sợ hãi.
Hotgirl Tam Tit tinh khoi don ngay moi.,Hotgirl Tâm Tít tinh khôi đón ngày mới.
Di tim loi giai cho con khat tien dao cua bong da Viet Nam.,Đi tìm lời giải cho cơn khát tiền đạo của bóng đá Việt Nam.
"Gio day, nguoi dung si ay da o tuoi 89 nhung tinh than chien dau, cong hien cua ong duong nhu khong bi anh huong boi thoi gian.","Giờ đây, người dũng sĩ ấy đã ở tuổi 89 nhưng tinh thần chiến đấu, cống hiến của ông dường như không bị ảnh hưởng bởi thời gian."
"Dac biet, 28/6 la sinh nhat thu 51 cua ong, dong thoi la ngay ong dat duoc cot moc 100 trieu nguoi theo doi tren Twitter.","Đặc biệt, 28/6 là sinh nhật thứ 51 của ông, đồng thời là ngày ông đạt được cột mốc 100 triệu người theo dõi trên Twitter."
Antonio Conte: Chon binh yen hay hanh phuc.,Antonio Conte: Chọn bình yên hay hạnh phúc.
Nhu vay Quang Hai sau khi gia nhap Pau FC voi ban hop dong 2 nam cung gia han them 1 nam sap co co hoi doi dau day thu vi voi cac cau thu nay tren san co nuoc Phap.,Như vậy Quang Hải sau khi gia nhập Pau FC với bản hợp đồng 2 năm cùng gia hạn thêm 1 năm sắp có cơ hội đối đầu đầy thú vị với các cầu thủ này trên sân cỏ nước Pháp.
Ly Nha Ky tang kim cuong: Cai gia cua Xa Thi Man.,Lý Nhã Kỳ tặng kim cương: Cái giá của Xa Thi Mạn.
Than trong cho vay uu dai sam tau cu.,Thận trọng cho vay ưu đãi sắm tàu cũ.
Waxing tai nha bang bien phap tu nhien.,Waxing tại nhà bằng biện pháp tự nhiên.
"Theo do, Dai hoc Quoc gia Ha Noi cho biet, nguong dam bao chat luong dau vao doi voi phuong thuc su dung ket qua thi tot nghiep THPT nam 2022 cua truong (diem nhan dang ky xet tuyen dai hoc chinh quy) la 20 diem (da bao gom diem uu tien khu vuc va doi tuong, chua nhan he so). Muc diem nay de vao cac nganh/chuong trinh dao tao trinh do dai hoc cua cac truong dai hoc thanh vien, cac khoa truc thuoc Dai hoc Quoc gia Ha Noi.","Theo đó, Đại học Quốc gia Hà Nội cho biết, ngưỡng đảm bảo chất lượng đầu vào đối với phương thức sử dụng kết quả thi tốt nghiệp THPT năm 2022 của trường (điểm nhận đăng ký xét tuyển đại học chính quy) là 20 điểm (đã bao gồm điểm ưu tiên khu vực và đối tượng, chưa nhân hệ số). Mức điểm này để vào các ngành/chương trình đào tạo trình độ đại học của các trường đại học thành viên, các khoa trực thuộc Đại học Quốc gia Hà Nội."
